C:\4c\Engineering\bin>PLIST 4cpcdl
Microsoft (R) PLIST Version 6.00.8168.0
Copyright (c) Microsoft Corp 1991-1998. All rights reserved.

Profile: Function timing, sorted by time
Date:    Wed Jun 07 17:09:08 2006


Program Statistics
------------------
    Command line at 2006 Jun 07 17:07: 4dl C:\4c\Projects\d-236\MassTest\MassTest.4cp win1
    Total time: 87729,071 millisecond
    Time outside of functions: 11020,905 millisecond
    Call depth: 17
    Total functions: 1322
    Total hits: 345877
    Function coverage: 39,0%
    Overhead Calculated 963
    Overhead Average 963

Module Statistics for 4cpcdl.dll
--------------------------------
    Time in module: 76708,166 millisecond
    Percent of time in module: 100,0%
    Functions in module: 1322
    Hits in module: 345877
    Module function coverage: 39,0%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       1,336   0,0        1,336   0,0    13590 CDaoFieldExchange::SetFieldType(unsigned int) (dlrs.obj)
       1,294   0,0        1,299   0,0        2 CCsvExp::Open(char const *) (csvexp.obj)
       1,109   0,0        1,109   0,0      722 AFX_MAINTAIN_STATE2::AFX_MAINTAIN_STATE2(class AFX_MODULE_STATE *) (mfc42.dll)
       1,066   0,0        3,277   0,0     1440 CDomRS::CDomRS(class CDaoDatabase *) (dlrs.obj)
       1,042   0,0        1,042   0,0    12309 CString::CString(void) (mfc42.dll)
       1,008   0,0        1,019   0,0        1 CSubscriptionManager::Start(void) (subscription.obj)
       0,990   0,0        0,990   0,0      714 CString::CString(unsigned short const *) (mfc42.dll)
       0,926   0,0        0,926   0,0     1451 CString::Find(char,int) (mfc42.dll)
       0,914   0,0        0,914   0,0     1444 CDaoRecordset::~CDaoRecordset(void) (mfc42.dll)
       0,911   0,0       10,593   0,0      714 CStation::ReadDomainLine(class CDomRS &) (dlstat.obj)
       0,890   0,0        0,890   0,0        1 CDaoDatabase::Execute(char const *,int) (mfc42.dll)
       0,871   0,0      184,947   0,2     2856 CDaoRecordset::MoveNext(void) (mfc42.dll)
       0,854   0,0    70460,095  91,9        1 CStation::StartDownload(void) (dlstat.obj)
       0,809   0,0        0,809   0,0     6503 CString::GetData(void) (dldb.obj)
       0,808   0,0        0,808   0,0        1 CStation::CheckConnection(void) (dlstat.obj)
       0,791   0,0        0,791   0,0      725 operator new(unsigned int) (mfc42.dll)
       0,780   0,0        2,785   0,0     1440 CDomRS::~CDomRS(void) (dldb.obj)
       0,722   0,0       78,366   0,1        1 CStation::WriteDownloadFile(char const *,short) (dlstat.obj)
       0,695   0,0        0,695   0,0     4280 CCsvExp::IsOpen(void) (csvexp.obj)
       0,675   0,0        1,085   0,0     4314 CString::GetLength(void) (dlext.obj)
       0,671   0,0        0,671   0,0     1428 CString::Compare(char const *) (dldb.obj)
       0,670   0,0        0,680   0,0        2 CCsvParse::Open(char const *) (csvpars.obj)
